eventdate;load_n;load_ne;load_seco;load_s;load_t;teq_n;teq_ne;teq_seco;teq_s;teq_t
2022-02-22 00:00:00;27.275999999999996;27.992207792207793;26.106293706293712;24.951999999999998;26.581625374625375;5830.250445260598;11802.589131688672;45211.54566143155;15222.913050034747;78067.2148704656
2022-02-23 00:00:00;27.669999999999998;27.555444555444556;26.86553446553447;23.9908;26.520444755244757;5852.913371883253;11911.792970048644;45809.25941459347;15038.74812849201;78612.72233710911
2022-02-24 00:00:00;27.381999999999998;28.287312687312685;26.572627372627373;23.0438;26.321435014985013;5992.485962925643;12032.402143571924;43486.671151702576;15201.834693745655;78823.1501838082
2022-02-25 00:00:00;27.884;27.7024975024975;26.298501498501505;26.7256;27.15264975024975;6022.486693446838;11963.196324739401;45923.416300694924;15234.406734051423;79143.52555517721
2022-02-26 00:00:00;27.403999999999996;28.270329670329666;26.394805194805198;27.346799999999998;27.353983716283715;5639.196456935372;11343.030713203614;42098.011330229325;13347.805101389853;72428.03121577484
2022-02-27 00:00:00;25.82;27.79000999000999;26.820979020979028;27.4054;26.959097252747256;5314.417808783878;10594.84693419041;38858.13182453092;12013.091334468381;64451.531450319664
2022-02-28 00:00:00;25.236;27.952647352647354;27.841558441558444;26.141000000000002;26.79280144855145;5509.086725830438;11253.584011952747;43116.67938769979;14293.360573036833;74172.70864148714
2022-03-01 00:00:00;23.399999999999995;27.78361638361638;27.24195804195805;23.547199999999997;25.493193606393604;5264.831648137596;11364.387863099375;43227.26733592773;13735.956479569146;73592.45345357887
2022-03-02 00:00:00;24.247999999999998;27.840359640359644;27.128471528471533;25.0792;26.074007792207794;5589.1569284572615;12118.292531271716;45800.762786170955;14547.25325323141;78055.4840230021
2022-03-03 00:00:00;26.552;27.714285714285708;27.28791208791209;24.845799999999997;26.599999450549447;5948.290278394719;12352.928460528146;46833.8242943016;14686.147429603892;79821.17431264768
2022-03-04 00:00:00;25.895999999999997;27.344855144855146;26.21618381618382;24.851599999999998;26.077159740259738;5937.073976198749;11991.412922932592;46335.74594433635;14835.31527609451;79099.55673717859
2022-03-05 00:00:00;25.951999999999998;26.085914085914084;25.84075924075924;27.3902;26.31721833166833;5615.6506535719245;11034.63733446838;42600.85853759555;13357.81228999242;72662.28964732453
2022-03-06 00:00:00;24.688;26.225774225774224;26.98481518481519;25.6024;25.875247352647353;5234.38224323836;10129.715404537874;39635.40383134121;11975.27986026106;67040.119161918
2022-03-07 00:00:00;25.88;26.639360639360635;27.677922077922084;25.2954;26.37317067932068;5647.849970027798;11365.867826268242;46331.40277533009;14836.759549238579;78170.13179861015
2022-03-08 00:00:00;26.432000000000002;27.459740259740258;27.53806193806194;24.5304;26.49005054945055;5665.15203581654;11806.10312390549;47562.25555441278;14917.825313333333;80018.25635656706
2022-03-09 00:00:00;26.116;27.694505494505492;26.617982017982026;25.1786;26.401771878121878;5748.661017776233;12216.785715774844;47445.575830715774;14958.557621683092;80407.32983022933
2022-03-10 00:00:00;24.462;27.327272727272728;27.074525474525476;26.2412;26.27624955044955;5698.453046309937;12325.071191799861;47439.98322793607;14971.98208465388;80425.27744246005
2022-03-11 00:00:00;25.595999999999997;26.957442557442555;27.027772227772232;22.110799999999998;25.423003696303695;5686.431243036832;12253.53380229326;47303.75685198053;13907.714790396823;79081.82168783878
2022-03-12 00:00:00;26.802;27.038961038961038;26.0949050949051;19.738599999999998;24.918616533466533;5719.633615990271;11814.956581375955;43016.42457953556;11098.244530358632;71697.1875610146
2022-03-13 00:00:00;26.504;27.415984015984012;26.294705294705295;19.598999999999997;24.953422327672328;5457.279552508687;11048.860951118833;39010.32869360667;9322.323214412008;65158.65262140376
2022-03-14 00:00:00;26.372;27.576023976023972;26.320679320679325;21.3024;25.392775824175825;5870.045913099374;12128.584788047254;44951.71400268457;12315.350457798164;75487.60334308547
2022-03-15 00:00:00;23.741999999999997;26.703896103896103;26.111488511488513;22.554199999999998;24.777896153846154;5761.999205316191;12297.12221542738;45383.12630720243;12770.810024745137;76590.58761501043
2022-03-16 00:00:00;23.97;26.764435564435562;26.003196803196808;21.4936;24.557808091908093;5748.688554885337;12223.25129437109;45542.06049807544;12719.434636113838;76723.85485851286
